task_id,workflow_type,department,step_name,step_number,total_steps,employee_id,priority,start_time,end_time,step_duration_hours,expected_duration_hours,delay_flag,inefficiency_score
TASK0011,Budget Approval,HR,Finance Review,2,4,EMP037,Low,2024-07-04 15:08:29,2024-07-05 03:19:22,12.1815,8.0,1,0.5227
TASK0011,Budget Approval,HR,CFO Approval,3,4,EMP006,Low,2024-07-05 05:14:36,2024-07-05 15:48:08,10.5589,8.0,1,0.3199
TASK0011,Budget Approval,HR,Notification,4,4,EMP005,Low,2024-07-05 17:24:00,2024-07-05 18:38:11,1.2364,1.0,0,0.2364
TASK0012,Vendor Registration,IT,Application,1,5,EMP036,Medium,2024-12-03 09:00:00,2024-12-03 11:14:40,2.2447,2.0,0,0.1223
TASK0012,Vendor Registration,IT,Document Verification,2,5,EMP034,Medium,2024-12-03 11:59:32,2024-12-03 16:49:01,4.8248,4.0,0,0.2062
TASK0012,Vendor Registration,IT,Finance Check,3,5,EMP028,Medium,2024-12-03 18:37:32,2024-12-04 01:44:36,7.1175,6.0,0,0.1863
TASK0012,Vendor Registration,IT,Legal Clearance,4,5,EMP035,Medium,2024-12-04 03:41:23,2024-12-04 12:00:41,8.3216,10.0,0,-0.1678
TASK0012,Vendor Registration,IT,Activation,5,5,EMP045,Medium,2024-12-04 13:38:39,2024-12-04 15:31:14,1.8763,2.0,0,-0.0618
TASK0013,Purchase Order,Compliance,PO Creation,1,5,EMP029,High,2024-08-12 10:00:00,2024-08-12 13:15:45,3.2627,2.0,1,0.6314
TASK0013,Purchase Order,Compliance,Budget Check,2,5,EMP015,High,2024-08-12 13:56:39,2024-08-12 19:25:47,5.4856,3.0,1,0.8285
TASK0013,Purchase Order,Compliance,Procurement Review,3,5,EMP002,High,2024-08-12 20:01:32,2024-08-13 04:19:33,8.3002,6.0,1,0.3834
TASK0013,Purchase Order,Compliance,Vendor Confirmation,4,5,EMP015,High,2024-08-13 05:42:30,2024-08-13 11:36:04,5.8928,4.0,1,0.4732
TASK0013,Purchase Order,Compliance,Delivery,5,5,EMP001,High,2024-08-13 12:59:02,2024-08-14 17:34:44,28.5951,24.0,0,0.1915
TASK0014,Performance Review,HR,Self Assessment,1,5,EMP022,Medium,2024-02-04 08:00:00,2024-02-04 10:30:37,2.5105,3.0,0,-0.1632
TASK0014,Performance Review,HR,Peer Review,2,5,EMP016,Medium,2024-02-04 11:07:00,2024-02-04 16:13:54,5.115,4.0,1,0.2788
TASK0014,Performance Review,HR,Manager Evaluation,3,5,EMP032,Medium,2024-02-04 17:08:58,2024-02-04 22:44:34,5.5935,4.0,1,0.3984
TASK0014,Performance Review,HR,HR Processing,4,5,EMP009,Medium,2024-02-04 23:33:51,2024-02-05 02:49:00,3.2525,3.0,0,0.0842
TASK0014,Performance Review,HR,Finalization,5,5,EMP037,Medium,2024-02-05 04:24:06,2024-02-05 07:02:36,2.6416,2.0,1,0.3208
TASK0015,Contract Review,Management,Draft Submission,1,5,EMP007,Critical,2024-04-07 08:00:00,2024-04-07 12:16:42,4.2786,3.0,1,0.4262
TASK0015,Contract Review,Management,Legal Review,2,5,EMP023,Critical,2024-04-07 13:46:01,2024-04-08 08:18:05,18.5344,16.0,0,0.1584
TASK0015,Contract Review,Management,Compliance Check,3,5,EMP030,Critical,2024-04-08 09:26:12,2024-04-08 20:50:45,11.409,8.0,1,0.4261
TASK0015,Contract Review,Management,Management Approval,4,5,EMP004,Critical,2024-04-08 22:38:29,2024-04-09 05:35:53,6.9565,4.0,1,0.7391
TASK0015,Contract Review,Management,Signing,5,5,EMP042,Critical,2024-04-09 07:06:29,2024-04-09 09:44:56,2.6409,2.0,1,0.3205
TASK0016,Leave Request,Procurement,Request Submission,1,3,EMP013,Low,2024-05-07 08:00:00,2024-05-07 09:21:55,1.3654,0.5,1,1.7309
TASK0016,Leave Request,Procurement,Manager Approval,2,3,EMP009,Low,2024-05-07 10:40:11,2024-05-07 12:39:00,1.9804,2.0,0,-0.0098
TASK0016,Leave Request,Procurement,HR Confirmation,3,3,EMP018,Low,2024-05-07 13:46:59,2024-05-07 16:12:17,2.4219,1.0,1,1.4219
TASK0017,Invoice Approval,Management,Invoice Submission,1,4,EMP035,Low,2024-01-26 10:00:00,2024-01-26 12:30:46,2.513,1.0,1,1.513
TASK0017,Invoice Approval,Management,Finance Review,2,4,EMP006,Low,2024-01-26 14:16:01,2024-01-27 08:50:43,18.5783,8.0,1,1.3223
TASK0017,Invoice Approval,Management,Manager Sign-off,3,4,EMP016,Low,2024-01-27 10:44:05,2024-01-27 18:16:51,7.546,3.0,1,1.5153
TASK0017,Invoice Approval,Management,Payment Processing,4,4,EMP032,Low,2024-01-27 19:01:49,2024-01-28 03:57:33,8.9288,6.0,1,0.4881
TASK0018,Leave Request,HR,Request Submission,1,3,EMP025,Medium,2024-07-13 08:00:00,2024-07-13 08:31:33,0.5258,0.5,0,0.0517
TASK0018,Leave Request,HR,Manager Approval,2,3,EMP030,Medium,2024-07-13 09:25:25,2024-07-13 11:46:50,2.3571,2.0,0,0.1786
TASK0018,Leave Request,HR,HR Confirmation,3,3,EMP045,Medium,2024-07-13 12:42:31,2024-07-13 14:08:01,1.4251,1.0,1,0.4251
TASK0019,Vendor Registration,Management,Application,1,5,EMP014,Medium,2024-04-07 09:00:00,2024-04-07 12:24:22,3.4061,2.0,1,0.7031
TASK0019,Vendor Registration,Management,Document Verification,2,5,EMP038,Medium,2024-04-07 14:21:33,2024-04-07 20:43:48,6.3711,4.0,1,0.5928
TASK0019,Vendor Registration,Management,Finance Check,3,5,EMP004,Medium,2024-04-07 22:20:01,2024-04-08 08:35:23,10.256,6.0,1,0.7093
TASK0019,Vendor Registration,Management,Legal Clearance,4,5,EMP004,Medium,2024-04-08 10:12:42,2024-04-09 08:41:25,22.4785,10.0,1,1.2479
TASK0019,Vendor Registration,Management,Activation,5,5,EMP031,Medium,2024-04-09 09:15:56,2024-04-09 13:18:55,4.0499,2.0,1,1.0249
TASK0020,Vendor Registration,IT,Application,1,5,EMP012,Low,2024-09-17 08:00:00,2024-09-17 10:19:28,2.3245,2.0,0,0.1623
TASK0020,Vendor Registration,IT,Document Verification,2,5,EMP005,Low,2024-09-17 10:55:38,2024-09-17 16:39:39,5.7338,4.0,1,0.4334
TASK0020,Vendor Registration,IT,Finance Check,3,5,EMP016,Low,2024-09-17 18:10:26,2024-09-18 02:07:31,7.9514,6.0,1,0.3252
TASK0020,Vendor Registration,IT,Legal Clearance,4,5,EMP037,Low,2024-09-18 03:13:51,2024-09-18 18:44:58,15.5185,10.0,1,0.5518
TASK0020,Vendor Registration,IT,Activation,5,5,EMP039,Low,2024-09-18 19:37:07,2024-09-18 21:51:13,2.2349,2.0,0,0.1175
TASK0021,Invoice Approval,Compliance,Invoice Submission,1,4,EMP043,High,2024-05-13 08:00:00,2024-05-13 09:25:47,1.4297,1.0,1,0.4297
TASK0021,Invoice Approval,Compliance,Finance Review,2,4,EMP016,High,2024-05-13 11:00:14,2024-05-13 22:17:02,11.2801,8.0,1,0.41
TASK0021,Invoice Approval,Compliance,Manager Sign-off,3,4,EMP009,High,2024-05-13 23:10:57,2024-05-14 02:25:44,3.2465,3.0,0,0.0822
TASK0021,Invoice Approval,Compliance,Payment Processing,4,4,EMP020,High,2024-05-14 03:56:11,2024-05-14 13:39:36,9.7237,6.0,1,0.6206
TASK0022,Invoice Approval,HR,Invoice Submission,1,4,EMP007,Critical,2024-11-14 10:00:00,2024-11-14 10:48:36,0.8102,1.0,0,-0.1898
TASK0022,Invoice Approval,HR,Finance Review,2,4,EMP014,Critical,2024-11-14 11:25:12,2024-11-14 17:35:11,6.1663,8.0,0,-0.2292
TASK0022,Invoice Approval,HR,Manager Sign-off,3,4,EMP009,Critical,2024-11-14 18:50:42,2024-11-14 21:02:48,2.2016,3.0,0,-0.2661
TASK0022,Invoice Approval,HR,Payment Processing,4,4,EMP005,Critical,2024-11-14 22:56:48,2024-11-15 02:15:32,3.3122,6.0,0,-0.448
TASK0023,Compliance Audit,Operations,Audit Initiation,1,5,EMP046,Medium,2024-08-12 10:00:00,2024-08-12 12:11:53,2.1981,2.0,0,0.099
TASK0023,Compliance Audit,Operations,Document Gathering,2,5,EMP042,Medium,2024-08-12 13:09:06,2024-08-12 22:05:37,8.942,8.0,0,0.1177
TASK0023,Compliance Audit,Operations,Review,3,5,EMP043,Medium,2024-08-12 23:23:14,2024-08-13 11:28:36,12.0894,12.0,0,0.0075
TASK0023,Compliance Audit,Operations,Finding Report,4,5,EMP020,Medium,2024-08-13 13:12:08,2024-08-13 20:10:12,6.9677,6.0,0,0.1613
TASK0023,Compliance Audit,Operations,Sign-off,5,5,EMP007,Medium,2024-08-13 22:04:03,2024-08-14 01:57:31,3.8909,3.0,1,0.297
TASK0024,IT Support Ticket,Operations,Ticket Raised,1,5,EMP036,Low,2024-02-24 10:00:00,2024-02-24 11:04:27,1.0742,0.5,1,1.1485
TASK0024,IT Support Ticket,Operations,Triage,2,5,EMP019,Low,2024-02-24 11:48:26,2024-02-24 13:25:18,1.6145,1.0,1,0.6145
TASK0024,IT Support Ticket,Operations,Assignment,3,5,EMP046,Low,2024-02-24 14:49:44,2024-02-24 16:28:10,1.6404,1.0,1,0.6404
TASK0024,IT Support Ticket,Operations,Resolution,4,5,EMP044,Low,2024-02-24 17:29:01,2024-02-24 23:37:51,6.1471,4.0,1,0.5368
TASK0024,IT Support Ticket,Operations,Closure,5,5,EMP017,Low,2024-02-25 01:04:56,2024-02-25 01:33:46,0.4807,0.5,0,-0.0387
TASK0025,Purchase Order,HR,PO Creation,1,5,EMP018,Low,2024-11-20 09:00:00,2024-11-20 11:50:41,2.8448,2.0,1,0.4224
TASK0025,Purchase Order,HR,Budget Check,2,5,EMP022,Low,2024-11-20 12:24:39,2024-11-20 16:45:09,4.3417,3.0,1,0.4472
TASK0025,Purchase Order,HR,Procurement Review,3,5,EMP041,Low,2024-11-20 18:24:33,2024-11-21 07:12:58,12.8069,6.0,1,1.1345
TASK0025,Purchase Order,HR,Vendor Confirmation,4,5,EMP011,Low,2024-11-21 09:11:09,2024-11-21 14:41:09,5.4999,4.0,1,0.375
TASK0025,Purchase Order,HR,Delivery,5,5,EMP036,Low,2024-11-21 16:17:51,2024-11-23 04:41:15,36.3898,24.0,1,0.5162
TASK0026,Vendor Registration,HR,Application,1,5,EMP010,Low,2024-02-08 10:00:00,2024-02-08 12:50:24,2.8401,2.0,1,0.4201
TASK0026,Vendor Registration,HR,Document Verification,2,5,EMP024,Low,2024-02-08 14:09:30,2024-02-08 18:32:29,4.383,4.0,0,0.0958
TASK0026,Vendor Registration,HR,Finance Check,3,5,EMP010,Low,2024-02-08 19:54:55,2024-02-09 06:27:23,10.5411,6.0,1,0.7568
TASK0026,Vendor Registration,HR,Legal Clearance,4,5,EMP003,Low,2024-02-09 07:36:03,2024-02-10 00:03:05,16.4505,10.0,1,0.6451
TASK0026,Vendor Registration,HR,Activation,5,5,EMP003,Low,2024-02-10 01:00:50,2024-02-10 04:19:35,3.3125,2.0,1,0.6562
TASK0027,Contract Review,Legal,Draft Submission,1,5,EMP027,Low,2024-06-30 10:00:00,2024-06-30 16:42:01,6.7004,3.0,1,1.2335
TASK0027,Contract Review,Legal,Legal Review,2,5,EMP048,Low,2024-06-30 18:39:40,2024-07-03 02:35:45,55.9348,16.0,1,2.4959
TASK0027,Contract Review,Legal,Compliance Check,3,5,EMP016,Low,2024-07-03 03:19:40,2024-07-03 19:02:40,15.7167,8.0,1,0.9646
TASK0027,Contract Review,Legal,Management Approval,4,5,EMP012,Low,2024-07-03 20:50:29,2024-07-04 09:02:35,12.2017,4.0,1,2.0504
TASK0027,Contract Review,Legal,Signing,5,5,EMP002,Low,2024-07-04 10:51:54,2024-07-04 18:43:02,7.852,2.0,1,2.926
TASK0028,Compliance Audit,Compliance,Audit Initiation,1,5,EMP045,Medium,2024-05-16 08:00:00,2024-05-16 10:53:12,2.8868,2.0,1,0.4434
TASK0028,Compliance Audit,Compliance,Document Gathering,2,5,EMP003,Medium,2024-05-16 11:32:56,2024-05-17 00:19:04,12.7691,8.0,1,0.5961
TASK0028,Compliance Audit,Compliance,Review,3,5,EMP015,Medium,2024-05-17 02:06:21,2024-05-18 00:08:11,22.0305,12.0,1,0.8359
TASK0028,Compliance Audit,Compliance,Finding Report,4,5,EMP030,Medium,2024-05-18 00:56:08,2024-05-18 10:38:53,9.7125,6.0,1,0.6187
TASK0028,Compliance Audit,Compliance,Sign-off,5,5,EMP015,Medium,2024-05-18 11:40:21,2024-05-18 15:23:52,3.7253,3.0,0,0.2418
TASK0029,Performance Review,Legal,Self Assessment,1,5,EMP005,Critical,2024-06-17 09:00:00,2024-06-17 13:28:13,4.4705,3.0,1,0.4902
TASK0029,Performance Review,Legal,Peer Review,2,5,EMP018,Critical,2024-06-17 15:25:14,2024-06-17 20:03:05,4.6307,4.0,0,0.1577
TASK0029,Performance Review,Legal,Manager Evaluation,3,5,EMP033,Critical,2024-06-17 21:04:41,2024-06-18 03:30:54,6.4369,4.0,1,0.6092
TASK0029,Performance Review,Legal,HR Processing,4,5,EMP035,Critical,2024-06-18 04:36:52,2024-06-18 08:12:49,3.5991,3.0,0,0.1997
TASK0029,Performance Review,Legal,Finalization,5,5,EMP002,Critical,2024-06-18 09:12:37,2024-06-18 13:03:42,3.8514,2.0,1,0.9257
TASK0030,Purchase Order,IT,PO Creation,1,5,EMP039,High,2024-01-20 08:00:00,2024-01-20 09:26:01,1.4337,2.0,0,-0.2832
TASK0030,Purchase Order,IT,Budget Check,2,5,EMP047,High,2024-01-20 10:35:07,2024-01-20 12:58:16,2.3857,3.0,0,-0.2048
TASK0030,Purchase Order,IT,Procurement Review,3,5,EMP028,High,2024-01-20 14:39:03,2024-01-20 20:34:50,5.9298,6.0,0,-0.0117
TASK0030,Purchase Order,IT,Vendor Confirmation,4,5,EMP033,High,2024-01-20 21:59:24,2024-01-21 00:33:10,2.563,4.0,0,-0.3592
TASK0030,Purchase Order,IT,Delivery,5,5,EMP037,High,2024-01-21 01:13:35,2024-01-21 22:33:16,21.328,24.0,0,-0.1113
TASK0031,Employee Onboarding,Compliance,Document Collection,1,5,EMP044,Low,2024-09-23 10:00:00,2024-09-23 15:54:12,5.9035,2.0,1,1.9517
TASK0031,Employee Onboarding,Compliance,HR Review,2,5,EMP048,Low,2024-09-23 17:28:57,2024-09-23 23:50:00,6.3508,4.0,1,0.5877
TASK0031,Employee Onboarding,Compliance,IT Setup,3,5,EMP013,Low,2024-09-24 01:26:20,2024-09-24 08:43:05,7.2792,3.0,1,1.4264
TASK0031,Employee Onboarding,Compliance,Manager Approval,4,5,EMP005,Low,2024-09-24 09:45:52,2024-09-24 14:41:16,4.9233,2.0,1,1.4616
TASK0031,Employee Onboarding,Compliance,Orientation,5,5,EMP022,Low,2024-09-24 16:36:39,2024-09-25 03:26:04,10.8236,4.0,1,1.7059
TASK0032,Performance Review,Finance,Self Assessment,1,5,EMP043,High,2024-09-16 09:00:00,2024-09-16 13:36:21,4.606,3.0,1,0.5353
TASK0032,Performance Review,Finance,Peer Review,2,5,EMP026,High,2024-09-16 14:43:06,2024-09-16 20:43:24,6.005,4.0,1,0.5013
TASK0032,Performance Review,Finance,Manager Evaluation,3,5,EMP036,High,2024-09-16 22:16:09,2024-09-17 07:16:52,9.0118,4.0,1,1.253
TASK0032,Performance Review,Finance,HR Processing,4,5,EMP027,High,2024-09-17 07:58:19,2024-09-17 14:27:20,6.4835,3.0,1,1.1612
TASK0032,Performance Review,Finance,Finalization,5,5,EMP025,High,2024-09-17 15:57:10,2024-09-17 20:14:14,4.2844,2.0,1,1.1422
TASK0033,IT Support Ticket,Operations,Ticket Raised,1,5,EMP020,Critical,2024-10-07 08:00:00,2024-10-07 08:26:56,0.4491,0.5,0,-0.1018
TASK0033,IT Support Ticket,Operations,Triage,2,5,EMP028,Critical,2024-10-07 09:22:46,2024-10-07 10:06:18,0.7258,1.0,0,-0.2742
TASK0033,IT Support Ticket,Operations,Assignment,3,5,EMP039,Critical,2024-10-07 11:47:01,2024-10-07 12:39:46,0.879,1.0,0,-0.121
TASK0033,IT Support Ticket,Operations,Resolution,4,5,EMP030,Critical,2024-10-07 14:08:41,2024-10-07 17:42:06,3.5569,4.0,0,-0.1108
TASK0033,IT Support Ticket,Operations,Closure,5,5,EMP044,Critical,2024-10-07 18:51:52,2024-10-07 19:13:28,0.36,0.5,0,-0.28
TASK0034,Budget Approval,IT,Budget Draft,1,4,EMP043,Low,2024-05-25 10:00:00,2024-05-25 20:42:38,10.7106,6.0,1,0.7851
TASK0034,Budget Approval,IT,Finance Review,2,4,EMP022,Low,2024-05-25 22:09:36,2024-05-26 09:32:44,11.3856,8.0,1,0.4232
TASK0034,Budget Approval,IT,CFO Approval,3,4,EMP049,Low,2024-05-26 10:11:08,2024-05-26 18:06:27,7.9221,8.0,0,-0.0097
TASK0034,Budget Approval,IT,Notification,4,4,EMP020,Low,2024-05-26 18:57:36,2024-05-26 20:25:50,1.4707,1.0,1,0.4707
TASK0035,Contract Review,IT,Draft Submission,1,5,EMP031,Low,2024-01-24 08:00:00,2024-01-24 11:08:23,3.1397,3.0,0,0.0466
TASK0035,Contract Review,IT,Legal Review,2,5,EMP050,Low,2024-01-24 12:33:23,2024-01-25 12:37:51,24.0743,16.0,1,0.5046
TASK0035,Contract Review,IT,Compliance Check,3,5,EMP027,Low,2024-01-25 13:14:24,2024-01-26 02:03:00,12.8099,8.0,1,0.6012
TASK0035,Contract Review,IT,Management Approval,4,5,EMP037,Low,2024-01-26 03:52:45,2024-01-26 08:13:32,4.3465,4.0,0,0.0866
TASK0035,Contract Review,IT,Signing,5,5,EMP045,Low,2024-01-26 09:01:02,2024-01-26 12:07:06,3.101,2.0,1,0.5505
TASK0036,Leave Request,Legal,Request Submission,1,3,EMP001,Medium,2024-12-01 10:00:00,2024-12-01 11:08:12,1.1367,0.5,1,1.2734
TASK0036,Leave Request,Legal,Manager Approval,2,3,EMP050,Medium,2024-12-01 12:58:32,2024-12-01 17:51:58,4.8905,2.0,1,1.4453
TASK0036,Leave Request,Legal,HR Confirmation,3,3,EMP050,Medium,2024-12-01 19:41:39,2024-12-01 22:35:27,2.8967,1.0,1,1.8967
TASK0037,IT Support Ticket,Management,Ticket Raised,1,5,EMP008,Low,2024-10-12 08:00:00,2024-10-12 09:10:27,1.1744,0.5,1,1.3488
TASK0037,IT Support Ticket,Management,Triage,2,5,EMP030,Low,2024-10-12 10:21:32,2024-10-12 12:27:24,2.0977,1.0,1,1.0977
TASK0037,IT Support Ticket,Management,Assignment,3,5,EMP036,Low,2024-10-12 13:57:29,2024-10-12 15:59:19,2.0306,1.0,1,1.0306
TASK0037,IT Support Ticket,Management,Resolution,4,5,EMP049,Low,2024-10-12 17:22:54,2024-10-13 01:38:59,8.268,4.0,1,1.067
TASK0037,IT Support Ticket,Management,Closure,5,5,EMP040,Low,2024-10-13 03:29:13,2024-10-13 04:42:10,1.216,0.5,1,1.4319
TASK0038,Vendor Registration,Compliance,Application,1,5,EMP031,Critical,2024-03-22 10:00:00,2024-03-22 12:41:30,2.6919,2.0,1,0.346
TASK0038,Vendor Registration,Compliance,Document Verification,2,5,EMP049,Critical,2024-03-22 13:52:01,2024-03-22 19:11:09,5.3189,4.0,1,0.3297
TASK0038,Vendor Registration,Compliance,Finance Check,3,5,EMP041,Critical,2024-03-22 20:03:24,2024-03-23 04:52:03,8.8107,6.0,1,0.4685
TASK0038,Vendor Registration,Compliance,Legal Clearance,4,5,EMP050,Critical,2024-03-23 05:47:00,2024-03-23 18:24:58,12.6328,10.0,1,0.2633
TASK0038,Vendor Registration,Compliance,Activation,5,5,EMP041,Critical,2024-03-23 19:41:53,2024-03-23 22:57:02,3.2526,2.0,1,0.6263
TASK0039,Budget Approval,Finance,Budget Draft,1,4,EMP022,High,2024-04-30 09:00:00,2024-04-30 20:35:31,11.5921,6.0,1,0.932
